database_family	revised_family	database_name	revised_name	database	tax_ref	year_ref	canine	evidence_canine	reference_canine	obs_canine	diet	reference diet	horn	reference_horn	obs1	obs2	category	is_ruminant
Bovidae	Bovidae	Kobus_sigmoidalis	Kobus_sigmoidalis	pbdb	Suwa; G.; Nakaya; H.; Asfaw; B.; Saegusa; H.; Amzaye; A.; Kono; R. T.; ... & Katoh; S. (2003). Plio-Pleistocene terrestrial mammal assemblage from Konso; southern Ethiopia. Journal of Vertebrate Paleontology; 23(4); 901-916.	2003	 	 	 								valid_species	yes
Bovidae	Bovidae	Kobus_subdolus	Redunca_subdolus	now	Vrba; E. S. (2006). A possible ancestor of the living waterbuck and lechwes: Kobus basilcookei sp. nov.(Reduncini; Bovidae; Artiodactyla) from the Early Pliocene of the Middle Awash; Ethiopia. Transactions of the Royal Society of South Africa; 61(2); 63-74.	2006	 	 	 								synonymized	yes
Bovidae	Bovidae	Kobus_subdolus	Redunca_subdolus	pbdb	Vrba; E. S. (2006). A possible ancestor of the living waterbuck and lechwes: Kobus basilcookei sp. nov.(Reduncini; Bovidae; Artiodactyla) from the Early Pliocene of the Middle Awash; Ethiopia. Transactions of the Royal Society of South Africa; 61(2); 63-74.	2006	 	 	 								synonymized	yes
Bovidae	Bovidae	Kobus_tchadensis	Kobus_tchadensis	now	Geraads; D.; Blondel; C.; Mackaye; H. T.; Likius; A.; Vignaud; P.; & Brunet; M. (2009). Bovidae (Mammalia) from the lower Pliocene of Chad. Journal of Vertebrate Paleontology; 29(3); 923-933.	2009	 	 	 								valid_species	yes
Bovidae	Bovidae	Kobus_venterae	Kobus_leche	now	O壽猂egan; H. J.; Bishop; L. C.; Lamb; A.; Elton; S.; & Turner; A. (2005). Large mammal turnover in Africa and the Levant between 1.0 and 0.5 Ma. Geological Society; London; Special Publications; 247(1); 231-249.	2005	 	 	 								synonymized	yes
Bovidae	Bovidae	Koufotragus_bailloudi	Koufotragus_bailloudi	now	Koufos; G. D.; & Kostopoulos; D. S. (2016). The Plio-Pleistocene large mammal record of Greece: Implications for early human dispersals into Europe. In Paleoanthropology of the Balkans and Anatolia (pp. 269-280). Springer Netherlands.	2016	 	 	 								valid_species	yes
Bovidae	Bovidae	Kubanotragus_gaopoensis	Kubanotragus_gaopoensis	now	Charreau; J.; Chen; Y.; Gilder; S.; Barrier; L.; Dominguez; S.; Augier; R.; ... & Wang; Q. (2009). Neogene uplift of the Tian Shan Mountains observed in the magnetic record of the Jingou River section (northwest China). Tectonics; 28(2).	2009	 	 	 								valid_species	yes
Bovidae	Bovidae	Kubanotragus_sokolovi	Kubanotragus_sokolovi	now	Geraads; D. (2003). Ruminants; other than Giraffidae from the middle Miocene hominoid locality of 锑and�眗 (Turkey). Courier Forschungsinstitut Senckenberg; 240; 181-199.	2003	 	 	 								valid_species	yes
Bovidae	Bovidae	Kubanotragus_sokolovi	Kubanotragus_sokolovi	pbdb	Geraads; D. (2003). Ruminants; other than Giraffidae from the middle Miocene hominoid locality of 锑and�眗 (Turkey). Courier Forschungsinstitut Senckenberg; 240; 181-199.	2003	 	 	 								valid_species	yes
Bovidae	Bovidae	Lantiantragus_longirostralis	Lantiantragus_longirostralis	now	Wang; X.; Flynn; L. J.; Wang; X.; Flynn; L. J.; & Fortelius; M. (2013)._Fossil mammals of Asia. Columbia University Press.	2013	 	 	 								valid_species	yes
Bovidae	Bovidae	Lantiantragus_longirostralis	Lantiantragus_longirostralis	pbdb	Wang; X.; Flynn; L. J.; Wang; X.; Flynn; L. J.; & Fortelius; M. (2013)._Fossil mammals of Asia. Columbia University Press.	2013	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_brevicornis	Leptobos_brevicornis	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_crassus	Leptobos_crassus	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_elatus	Leptobos_elatus	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_elatus	Leptobos_elatus	pbdb	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_etruscus	Leptobos_etruscus	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_etruscus	Leptobos_etruscus	pbdb	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_falconeri	Leptobos_falconeri	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_falconeri	Leptobos_falconeri	pbdb	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_furtivus	Leptobos_furtivus	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_merlai	Leptobos_merlai	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	NA	Leptobos_merlai/furtivus	NA	now	assumed	NA	 	 	 						there seems to be no discussion record of this species; other than the description; which was later chnaged to hendryomeryx besides the reference of PBDB itself. It also looks like another species: Leptomeryx transmontanus		invalid	yes
Bovidae	Bovidae	Leptobos_stenometopon	Leptobos_stenometopon	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_stenometopon	Leptobos_stenometopon	pbdb	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	NA	Leptobos_syrticus	NA	now	Duvernois; M. P. (1992). Mise au point sur le genre Leptobos (Mammalia; Artiodactyla; Bovidae); implications biostratigraphiques et phylog泰n泰tiques. Geobios; 25(1); 155-166.	1992	invalid	invalid	invalid								invalid	invalid
Bovidae	Bovidae	Leptobos_vallisarni	Leptobos_vallisarni	now	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Leptobos_vallisarni	Leptobos_vallisarni	pbdb	Mead; J. I.; Jin; C.; Wei; G.; Sun; C.; Wang; Y.; Swift; S. L.; & Zheng; L. (2014). New data on Leptobos crassus (Artiodactyla; Bovidae) from Renzidong Cave; Early Pleistocene (Nihewanian) of Anhui; China; and an overview of the genus. Quaternary International; 354; 139-146.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Litocranius_walleri	Litocranius_walleri	pbdb	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								valid_species	yes
Bovidae	Bovidae	Macrotragus_planifrons	Macrotragus_planifrons	now	Chen; G. F.; & Zhang; Z. Q. (2007). Restudy of Chinese fossil bovids referred to Protoryx (Bovidae; Artiodactyla). 審_忋_綺_屲洎宊鼘时; 45(2); 98-109.	2007	 	 	 								valid_species	yes
Bovidae	Bovidae	Macrotragus_shansiensis	Macrotragus_shansiensis	now	Chen; G. F.; & Zhang; Z. Q. (2007). Restudy of Chinese fossil bovids referred to Protoryx (Bovidae; Artiodactyla). 審_忋_綺_屲洎宊鼘时; 45(2); 98-109.	2007	 	 	 								valid_species	yes
Bovidae	Bovidae	Madoqua_avifluminis	Madoqua_avifluminis	now	Geraads; D.; Bobe; R.; & Reed; K. (2012). Pliocene Bovidae (Mammalia) from the Hadar Formation of Hadar and Ledi-Geraru; Lower Awash; Ethiopia. Journal of Vertebrate Paleontology; 32(1); 180-197.	2012	 	 	 								valid_species	yes
Bovidae	Bovidae	Madoqua_avifluminis	Madoqua_avifluminis	pbdb	Geraads; D.; Bobe; R.; & Reed; K. (2012). Pliocene Bovidae (Mammalia) from the Hadar Formation of Hadar and Ledi-Geraru; Lower Awash; Ethiopia. Journal of Vertebrate Paleontology; 32(1); 180-197.	2012	 	 	 								valid_species	yes
Bovidae	Bovidae	Madoqua_kirki	Madoqua_kirkii	pbdb	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								typo	yes
Bovidae	Bovidae	Majoreas_woodwardi	Majoreas_woodwardi	now	Kostopoulos; D. S.; & Sen; S. (2016). Suidae; Tragulidae; Giraffidae; and Bovidae. Geodiversitas; 38(2); 273-298.	2016	 	 	 								valid_species	yes
Bovidae	Bovidae	Makapania_broomi	Makapania_broomi	now	Gentry; A. W. (2000). An Ovibovine (Mammalia; Bovidae) from the Neogene of Stratzing; Austria. Annalen des Naturhistorischen Museums in Wien. Serie A f蘝r Mineralogie und Petrographie; Geologie und Pal蘝ontologie; Anthropologie und Pr蘝historie; 189-199.	2000	 	 	 								valid_species	yes
Bovidae	Bovidae	Makapania_broomi	Makapania_broomi	pbdb	Gentry; A. W. (2000). An Ovibovine (Mammalia; Bovidae) from the Neogene of Stratzing; Austria. Annalen des Naturhistorischen Museums in Wien. Serie A f蘝r Mineralogie und Petrographie; Geologie und Pal蘝ontologie; Anthropologie und Pr蘝historie; 189-199.	2000	 	 	 								valid_species	yes
Bovidae	Bovidae	Maremmia_haupti	Maremmia_haupti	pbdb	Abbazzi; L.; Delfino; M.; Gallai; G.; Trebini; L.; & Rook; L. (2008). NEW DATA ON THE VERTEBRATE ASSEMBLAGE OF FIUME SANTO (NORTH壽怶EST SARDINIA; ITALY); AND OVERVIEW ON THE LATE MIOCENE TUSCO壽怱ARDINIAN PALAEOBIOPROVINCE. Palaeontology; 51(2); 425-451.	2008	 	 	 								valid_species	yes
Bovidae	Bovidae	Maremmia_hauptii	Maremmia_haupti	now	Abbazzi; L.; Delfino; M.; Gallai; G.; Trebini; L.; & Rook; L. (2008). NEW DATA ON THE VERTEBRATE ASSEMBLAGE OF FIUME SANTO (NORTH壽怶EST SARDINIA; ITALY); AND OVERVIEW ON THE LATE MIOCENE TUSCO壽怱ARDINIAN PALAEOBIOPROVINCE. Palaeontology; 51(2); 425-451.	2008	 	 	 								typo	yes
Bovidae	Bovidae	Maremmia_lorenzi	Maremmia_lorenzi	now	Palombo; M. R.; Rozzi; R.; & Bover; P. (2013). The endemic bovids from Sardinia and the Balearic Islands: state of the art. Geobios; 46(1); 127-142.	2013	 	 	 								valid_species	yes
Bovidae	Bovidae	Maremmia_lorenzi	Maremmia_lorenzi	pbdb	Palombo; M. R.; Rozzi; R.; & Bover; P. (2013). The endemic bovids from Sardinia and the Balearic Islands: state of the art. Geobios; 46(1); 127-142.	2013	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalotragus_eucornutus	Megalotragus_priscus	now	O壽猂egan; H. J.; Bishop; L. C.; Lamb; A.; Elton; S.; & Turner; A. (2005). Large mammal turnover in Africa and the Levant between 1.0 and 0.5 Ma. Geological Society; London; Special Publications; 247(1); 231-249.	2005	 	 	 								synonymized	yes
Bovidae	Bovidae	Megalotragus_eucornutus	Megalotragus_priscus	pbdb	O壽猂egan; H. J.; Bishop; L. C.; Lamb; A.; Elton; S.; & Turner; A. (2005). Large mammal turnover in Africa and the Levant between 1.0 and 0.5 Ma. Geological Society; London; Special Publications; 247(1); 231-249.	2005	 	 	 								synonymized	yes
Bovidae	Bovidae	Megalotragus_isaaci	Megalotragus_kattwinkeli	now	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								synonymized	yes
Bovidae	Bovidae	Megalotragus_isaaci	Megalotragus_kattwinkeli	pbdb	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								synonymized	yes
Bovidae	Bovidae	Megalotragus_kattwinkeli	Megalotragus_kattwinkeli	now	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalotragus_kattwinkeli	Megalotragus_kattwinkeli	pbdb	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalotragus_priscus	Megalotragus_priscus	now	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalotragus_priscus	Megalotragus_priscus	pbdb	Vrba; E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash; Ethiopia; and phylogenetic analysis of Alcelaphini.	1997	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalovis_ardeus	Pliotragus_ardeus	now	Palombo; M. R.; & Valli; A. M. F. (2003). Remarks on the biochronology of mammalian faunal complexes from the Pliocene to the Middle Pleistocene in France. Geologica Romana; 37(2003-2004); 145-163.	2003	 	 	 								synonymized	yes
Bovidae	Bovidae	Megalovis_guangxiensis	Megalovis_guangxiensis	now	Wang; W.; Liao; W.; Li; D.; & Tian; F. (2014). Early Pleistocene large-mammal fauna associated with Gigantopithecus at Mohui Cave; Bubing Basin; South China. Quaternary International; 354; 122-130.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalovis_guangxiensis	Megalovis_guangxiensis	pbdb	Wang; W.; Liao; W.; Li; D.; & Tian; F. (2014). Early Pleistocene large-mammal fauna associated with Gigantopithecus at Mohui Cave; Bubing Basin; South China. Quaternary International; 354; 122-130.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalovis_latifrons	Megalovis_latifrons	now	Palombo; M. R.; & Valli; A. M. F. (2003). Remarks on the biochronology of mammalian faunal complexes from the Pliocene to the Middle Pleistocene in France. Geologica Romana; 37(2003-2004); 145-163.	2003	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalovis_latifrons	Megalovis_latifrons	pbdb	Palombo; M. R.; & Valli; A. M. F. (2003). Remarks on the biochronology of mammalian faunal complexes from the Pliocene to the Middle Pleistocene in France. Geologica Romana; 37(2003-2004); 145-163.	2003	 	 	 								valid_species	yes
Bovidae	Bovidae	Megalovis_piveteaui	Megalovis_piveteaui	now	Liu; P.; Deng; C.; Li; S.; Cai; S.; Cheng; H.; Baoyin; Y.; ... & Zhu; R. (2012). Magnetostratigraphic dating of the Xiashagou Fauna and implication for sequencing the mammalian faunas in the Nihewan Basin; North China. Palaeogeography; Palaeoclimatology; Palaeoecology; 315; 75-85.	2012	 	 	 								valid_species	yes
Bovidae	Bovidae	Menelikia_leakeyi	Menelikia_leakeyi	now	Vrba; E. S. (2006). A possible ancestor of the living waterbuck and lechwes: Kobus basilcookei sp. nov.(Reduncini; Bovidae; Artiodactyla) from the Early Pliocene of the Middle Awash; Ethiopia. Transactions of the Royal Society of South Africa; 61(2); 63-74.	2006	 	 	 								valid_species	yes
Bovidae	Bovidae	Menelikia_leakeyi	Menelikia_leakeyi	pbdb	Vrba; E. S. (2006). A possible ancestor of the living waterbuck and lechwes: Kobus basilcookei sp. nov.(Reduncini; Bovidae; Artiodactyla) from the Early Pliocene of the Middle Awash; Ethiopia. Transactions of the Royal Society of South Africa; 61(2); 63-74.	2006	 	 	 								valid_species	yes
Bovidae	Bovidae	Menelikia_lyrocera	Menelikia_lyrocera	now	Vrba; E. S.; & Haile-Selassie; Y. (2006). A New Antelope; Zephyreduncinus oundagaisus (Reduncini; Artiodactyla; Bovidae); from the Late Miocene of the Middle Awash; Afar Rift; Ethiopia. Journal of Vertebrate Paleontology; 26(1); 213-218.	2006	 	 	 								valid_species	yes
Bovidae	Bovidae	Menelikia_lyrocera	Menelikia_lyrocera	pbdb	Vrba; E. S.; & Haile-Selassie; Y. (2006). A New Antelope; Zephyreduncinus oundagaisus (Reduncini; Artiodactyla; Bovidae); from the Late Miocene of the Middle Awash; Afar Rift; Ethiopia. Journal of Vertebrate Paleontology; 26(1); 213-218.	2006	 	 	 								valid_species	yes
Bovidae	Bovidae	Mesembriacerus_melentisi	Mesembriacerus_melentisi	now	Merceron; G.; Blondel; C.; Viriot; L.; Koufos; G. D.; & De Bonis; L. (2007). Dental microwear analysis of bovids from the Vallesian (late Miocene) of Axios Valley in Greece: reconstruction of the habitat of Ouranopithecus macedoniensis (Primates; Hominoidea). Geodiversitas; 29(3); 421-433.	2007	 	 	 								valid_species	yes
Bovidae	Bovidae	Mesembriportax_acrae	Tragoportax_acrae	now	Marra; A. C. (2018). Tragoportax cf. rugosifrons (Schlosser; 1904) from the late Miocene of Cessaniti (Southern Italy). Comptes Rendus Palevol.	2018	 	 	 								valid_species	yes
Bovidae	Bovidae	Mesembriportax_acrae	Tragoportax_acrae	pbdb	Marra; A. C. (2018). Tragoportax cf. rugosifrons (Schlosser; 1904) from the late Miocene of Cessaniti (Southern Italy). Comptes Rendus Palevol.	2018	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_amalthea	Tragoportax_amalthea	pbdb	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								synonymized	yes
Bovidae	Bovidae	Miotragocerus_cyrenaicus	Tragoportax_cyrenaicus	now	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								synonymized	yes
Bovidae	Bovidae	Miotragocerus_gregarius	Miotragocerus_gregarius	now	Zhang; Z. (2004). Late Miocene Boselaphini (Bovidae; Artiodactyla) from Fugu; Shaanxi Province; China. Vertebrata Pal Asiatica; 43(3); 208-218.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_leskewitscchi	Miotragocerus_leskewitscchi	now	Based on J. L. Cantalapiedra advising. Please check Supplementary file 1		 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_monacensis	Miotragocerus_monacensis	now	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_monacensis	Miotragocerus_monacensis	pbdb	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_pannoniae	Miotragocerus_pannoniae	now	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_pannoniae	Miotragocerus_pannoniae	pbdb	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Miotragocerus_rugosifrons	Tragoportax_rugosifrons	now	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								synonymized	yes
Bovidae	Bovidae	Miotragocerus_valenciennesi	Miotragocerus_valenciennesi	now	Kostopoulos; D. S. (2006). Greek bovids through time. Hellenic Journal of Geosciences; 41(1); 141-152.	2006	 	 	 								valid_species	yes
Bovidae	Bovidae	Mirabiloceros_brevicornis	Mirabiloceros_brevicornis	now	Spassov; N.; & Geraads; D. (2004). Tragoportax PILGRIM; 1937 and Miotragocerus STROMER; 1928 (Mammalia; Bovidae) from the Turolian of Hadjidimovo; Bulgaria; and a revision of the late Miocene Mediterranean Boselaphini. Geodiversitas; 26(2); 339-370.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Mirabilocerus_maius	Miotragocerus_maius	now	Based on J. L. Cantalapiedra advising. Please check Supplementary file 1		 	 	 								synonymized	yes
Bovidae	Bovidae	Moldoredunca_amalthea	Tragoportax_amalthea	now	Based on J. L. Cantalapiedra advising. Please check Supplementary file 1		 	 	 								synonymized	yes
Bovidae	Bovidae	Myotragus_balearicus	Myotragus_balearicus	now	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								valid_species	yes
Bovidae	Bovidae	Myotragus_balearicus	Myotragus_balearicus	pbdb	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								valid_species	yes
Bovidae	Bovidae	Myotragus_bateae	Myotragus_batei	now	Palombo; M. R.; Rozzi; R.; & Bover; P. (2013). The endemic bovids from Sardinia and the Balearic Islands: state of the art. Geobios; 46(1); 127-142.	2013	 	 	 							considered a typo	typo	yes
Bovidae	Bovidae	Myotragus_kopperi	Myotragus_kopperi	now	Palombo; M. R.; Rozzi; R.; & Bover; P. (2013). The endemic bovids from Sardinia and the Balearic Islands: state of the art. Geobios; 46(1); 127-142.	2013	 	 	 								valid_species	yes
Bovidae	Bovidae	Naemorhaedus_goral	Nemorhaedus_goral	pbdb	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								typo	yes
Bovidae	Bovidae	Naemorhedus_caudatus	Nemorhaedus_caudatus	now	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								typo	yes
Bovidae	NA	Naemorhedus_cinereus	Naemorhedus_griseus	now	Based on J. L. Cantalapiedra advising. Please check Supplementary file 1		 	 	 								synonymized	yes
Bovidae	Bovidae	Naemorhedus_goral	Nemorhaedus_goral	now	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 							considered a typo	typo	yes
Bovidae	NA	Naemorhedus_milneedwardsi	Capricornis_milneedwardsi	now	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								synonymized	yes
Bovidae	Bovidae	Naemorhedus_sumatraensis	Naemorhedus_sumatraensis	now	Louys; J.; Curnoe; D.; & Tong; H. (2007). Characteristics of Pleistocene megafauna extinctions in Southeast Asia. Palaeogeography; Palaeoclimatology; Palaeoecology; 243(1); 152-173.	2007	 	 	 								valid_species	yes
Bovidae	Bovidae	Namacerus_gariepensis	Namacerus_gariepensis	now	DeMIGUEL; D.; Azanza; B.; & Morales; J. (2014). Key innovations in ruminant evolution: a paleontological perspective. Integrative zoology; 9(4); 412-433.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Namibiomeryx_senuti	Namibiomeryx_senuti	now	DeMIGUEL; D.; Azanza; B.; & Morales; J. (2014). Key innovations in ruminant evolution: a paleontological perspective. Integrative zoology; 9(4); 412-433.	2014	 	 	 								valid_species	yes
Bovidae	Bovidae	Neotragocerus_improvisus	Neotragocerus_improvisus	now	Janis; C. M.; Damuth; J.; & Theodor; J. M. (2004). The species richness of Miocene browsers; and implications for habitat type and primary productivity in the North American grassland biome. Palaeogeography; Palaeoclimatology; Palaeoecology; 207(3); 371-398.	2004	 	 	 								valid_species	yes
Bovidae	Bovidae	Neotragocerus_improvisus	Neotragocerus_improvisus	pbdb	Janis; C. M.; Damuth; J.; & Theodor; J. M. (2004). The species richness of Miocene browsers; and implications for habitat type and primary productivity in the North American grassland biome. Palaeogeography; Palaeoclimatology; Palaeoecology; 207(3); 371-398.	2004	 	 	 								valid_species	yes
Bovidae	NA	Neotragocerus_lindgreni	Neotragocerus_lindgreni	pbdb	PBDB review	NA	 	 	 								valid_species	yes
Bovidae	NA	Neotragocerus_lingreni	Neotragocerus_lindgreni	now	assumed	NA	 	 	 								typo	yes
