database_family	revised_family	database_name	revised_name	database	tax_ref	year_ref	canine	evidence_canine	reference_canine	obs_canine	diet	reference diet	horn	reference_horn	obs1	obs2	category	is_ruminant
	Leptomerycidae	Hendryomeryx_defordi	Hendryomeryx_defordi	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	0	indirect	Webb, S. D. (1998). 31 Hornless ruminants. Evolution of Tertiary Mammals of North America: Volume 1, Terrestrial Carnivores, Ungulates, and Ungulate Like Mammals, 1, 463.	hendryomeryx ia genus very close to leptomeryx "subtly distinguisible" - so I assumed it was in the canines							valid_species	yes
	Leptomerycidae	Hendryomeryx_esulcatus	Hendryomeryx_esulcatus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	0	indirect	Webb, S. D. (1998). 31 Hornless ruminants. Evolution of Tertiary Mammals of North America: Volume 1, Terrestrial Carnivores, Ungulates, and Ungulate Like Mammals, 1, 463.	hendryomeryx ia genus very close to leptomeryx "subtly distinguisible" - so I assumed it was in the canines							valid_species	yes
	Leptomerycidae	Hendryomeryx_transmontanus	Hendryomeryx_esulcatus	pbdb	PBDB review	NA	0	indirect	Webb, S. D. (1998). 31 Hornless ruminants. Evolution of Tertiary Mammals of North America: Volume 1, Terrestrial Carnivores, Ungulates, and Ungulate Like Mammals, 1, 463.	hendryomeryx ia genus very close to leptomeryx "subtly distinguisible" - so I assumed it was in the canines							synonymized	yes
	Leptomerycidae	Hendryomeryx_wilsoni	Hendryomeryx_wilsoni	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	0	indirect	Webb, S. D. (1998). 31 Hornless ruminants. Evolution of Tertiary Mammals of North America: Volume 1, Terrestrial Carnivores, Ungulates, and Ungulate Like Mammals, 1, 463.	hendryomeryx ia genus very close to leptomeryx "subtly distinguisible" - so I assumed it was in the canines							valid_species	yes
	Cervidae	Heterocemas_simpsoni	Heterocemas_simpsoni	pbdb	Wang; X.; Flynn; L. J.; Wang; X.; Flynn; L. J.; & Fortelius; M. (2013)._Fossil mammals of Asia. Columbia University Press.	2013	 	 	 								valid_species	yes
	Cervidae	Heteroprox_elegans	Heteroprox_elegans	pbdb	Kordos; L. (1981). A hasznosi fels佋-mioc泰n gerinces lel佋hely kora eml佋s zon塘ci蘝 alapj塘n [The Age of the Upper Miocene Vertebrate Locality of Hasznos in Terms of Mammal Zonation]. A Magyar 虂llami F苔ldtani Int泰zet Jelent泰se az 1979. 泰vr佋l [Annual Report of the Hungarian Geological Institute on 1979]; 459-463.	1981	1	indirect	Gentry, A. W. (1994). The Miocene differentiation of old world Pecora (Mammalia). Historical Biology, 7(2), 115-158.								valid_species	yes
	Cervidae	Heteroprox_larteti	Heteroprox_larteti	pbdb	R苔ssner; G. E. (2010). Systematics and palaeoecology of Ruminantia (Artiodactyla; Mammalia) from the Miocene of Sandelzhausen (southern Germany; northern Alpine Foreland basin). Pal蘝ontologische Zeitschrift; 84(1); 123-162.	2010	1	direct	Rössner, G. E. (2010). Systematics and palaeoecology of Ruminantia (Artiodactyla, Mammalia) from the Miocene of Sandelzhausen (southern Germany, northern Alpine Foreland basin). Paläontologische Zeitschrift, 84(1), 123-162.								valid_species	yes
	Anthracobunidae	Hsanotherium_parvum	Hsanotherium_parvum	pbdb	Ducrocq; S.; Soe; A. N.; Bo; B.; Benammi; M.; Chaimanee; Y.; Tun; T.; ... & Jaeger; J. J. (2000). First record of an Anthracobunidae (Mammalia; Tethytheria) from the Eocene of the Pondaung Formation; Myanmar._Comptes Rendus de lAcademie des Sciences-Series IIA-Earth and Planetary Science;_330(10); 725-730.	2000	NA	NA	NA								valid_species	no
	Archaeomerycidae	Indomeryx_arenae	Indomeryx_arenae	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
	Archaeomerycidae	Indomeryx_cotteri	Indomeryx_cotteri	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
	Archaeomerycidae	Indomeryx_minus	Indomeryx_minus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
	Archaeomerycidae	Indomeryx_pilgrimi	Indomeryx_pilgrimi	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
	Tragulidae	Krabitherium_waileki	Krabitherium_waileki	pbdb	M_tais; G.; Chaimanee; Y.; Jaeger; J. J.; & Ducrocq; S. (2007). Eocene bunoselenodont Artiodactyla from southern Thailand and the early evolution of Ruminantia in South Asia._Naturwissenschaften;_94; 493-498.	2007	 	 	 								valid_species	yes
	Anthracotheriidae	Microbunodon_milaensis	Microbunodon_milaensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								valid_species	no
	Anthracotheriidae	Microbunodon_minimum	Microbunodon_minimum	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								valid_species	no
	Anthracotheriidae	Microbunodon_silistrense	Microbunodon_silistrensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	NA	NA	NA								typo	no
	Archaeomerycidae	Miomeryx_altaicus	Miomeryx_altaicus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
	Gelocidae	Mosaicomeryx_quercyi	Mosaicomeryx_quercyi	pbdb	Mennecart; B.; & M_tais; G. (2015). Mosaicomeryx gen. nov.; a ruminant mammal from the Oligocene of Europe and the significance of 壽_gelocids暲_._Journal of Systematic Palaeontology;_13(7); 581-600.	2015	 	 	 								valid_species	yes
		Myanmarius_chitseini	Myanmarius_chitseini	pbdb	Tsubamoto; T.; Egi; N.; & Takai; M. (2013). A new genus and species of bunodont artiodactyl from the Eocene Pondaung Formation; Myanmar._Paleontological Research;_17(4); 297-311.	2013	NA	NA	NA								valid_species	no
		Paalitherium_gurki	Paalitherium_gurki	pbdb	M_tais; G.; Mennecart; B.; & Roohi; G. (2016). A new assemblage of stem pecoran ruminants from the Oligocene Chitarwata Formation; Bugti Hills; Baluchistan; Pakistan: paleoenvironmental and paleobiogeographic implications._Journal of Asian Earth Sciences.	2016	 	 	 								valid_species	yes
	Suidae	Palaeochoerus_aurelianensis	Palaeochoerus_aurelianensis	pbdb	NA	2007	NA	NA	NA							obs: non-ruminant	no_literature	no
	Suidae	Palaeochoerus_dartevellei	Palaeochoerus_dartevellei	pbdb	NA	2007	NA	NA	NA							obs: non-ruminant	no_literature	no
	Suidae	Palaeochoerus_gergovianus	Palaeochoerus_gergovianus	pbdb	NA	2007	NA	NA	NA							obs: non-ruminant	no_literature	no
	Suidae	Palaeochoerus_perimensis	Palaeochoerus_perimensis	pbdb	NA	2007	NA	NA	NA							obs: non-ruminant	no_literature	no
	Suidae	Palaeochoerus_typus	Palaeochoerus_typus	pbdb	NA	2007	NA	NA	NA							obs: non-ruminant	no_literature	no
	Bovidae	Palaeohypsodontus_asiaticus	NA	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								invalid	yes
	Bovidae	Palaeohypsodontus_zinensis	Palaeohypsodontus_zinensis	pbdb	Gentry; A. W.; Solounias; N.; & Barry; J. C. (2014; April). Stability in higher level taxonomy of Miocene bovid faunas of the Siwaliks. In Annales Zoologici Fennici (Vol. 51; pp. 49-56). Finnish Zoological and Botanical Publishing.	2014	 	 	 								valid_species	yes
	Cervidae	Pliocervus_graecus	NA	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								invalid	yes
	Cervidae	Pliocervus_kutchurganicus	Procapreolus_moldavicus	pbdb	Roman Croitor. Plio-Pleistocene Deer of Western Palearctic: Taxonomy; Systematics; Phylogeny. Ion Todera楠. Institute of Zoology of the Academy of Sciences of Moldova; 2018; 978-9975-66-609-1. .	2018	1	indirect	Brokx, P. A. (1972). The superior canines of Odocoileus and other deer. Journal of mammalogy, 53(2), 359-366.								synonymized	yes
	Gelocidae	Prodremotherium_elongatum	Prodremotherium_elongatum	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	1	indirect	Janis, C. M., & Scott, K. M. (1987). The interrelationships of higher ruminant families: with special emphasis on the members of the Cervoidea. American Museum novitates; no. 2893.								valid_species	yes
	Gelocidae	Prodremotherium_trepidum	Prodremotherium_trepidum	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	1	indirect	Janis, C. M., & Scott, K. M. (1987). The interrelationships of higher ruminant families: with special emphasis on the members of the Cervoidea. American Museum novitates; no. 2893.								valid_species	yes
	Suidae	Schizochoerus_anatoliensis	Schizochoerus_anatoliensis	pbdb	NA	2007	NA	NA	NA								no_literature	no
	Suidae	Taucanamo_primum	Taucanamo_primum	pbdb	NA	2007	NA	NA	NA								no_literature	no
	Suidae	Taucanamo_pygmaeum	Taucanamo_pygmaeum	pbdb	NA	2007	NA	NA	NA								no_literature	no
	Suidae	Taucanamo_sansaniense	Taucanamo_sansaniense	pbdb	NA	2007	NA	NA	NA								no_literature	no
	Suidae	Taucanamo_sansaniensis	Taucanamo_sansaniensis	pbdb	NA	2007	NA	NA	NA								no_literature	no
	Archaeomerycidae	Thandaungia_tini	Thandaungia_tini	pbdb	M_tais; G. (2006). New basal selenodont artiodactyls from the Pondaung Formation (late middle Eocene; Myanmar) and the phylogenetic relationships of early ruminants._Annals of Carnegie museum;_75(1); 51-67.	2006	 	 	 								valid_species	yes
Andegamerycidae	Bovidae	Andegameryx_andegaviensis	Andagameryx_andegaviensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Andegamerycidae	Bovidae	Andegameryx_laugnacensis	Andagameryx_laugnacensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Andegamerycidae	Bovidae	Andegameryx_serum	Andagameryx_serum	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Antilocapridae	Antilocapridae	Antilocapra_americana	Antilocapra_americana	pbdb	Groves; C.; & Grubb; P. (2011). Ungulate taxonomy. JHU Press.	2011	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_arizonensis	Capromeryx_arizonensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_arizonensis	Capromeryx_arizonensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_furcifer	Capromeryx_furcifer	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_gidleyi	Capromeryx_gidleyi	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_gidleyi	Capromeryx_gidleyi	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_mexicana	Capromeryx_mexicanus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Antilocapridae	Antilocapridae	Capromeryx_minimus	Capromeryx_furcifer	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								synonymized	yes
Antilocapridae	Antilocapridae	Capromeryx_minor	Capromeryx_minor	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_tauntonensis	Capromeryx_tauntonensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Capromeryx_tauntonensis	Capromeryx_tauntonensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Ceratomeryx_prenticei	Ceratomeryx_prenticei	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Ceratomeryx_prenticei	Ceratomeryx_prenticei	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	NA	Cosoryx_agilis	NA	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	invalid	invalid	invalid							These entries are excluded; because there is great uncertainty if this is a species or a juvenile or female (Prothero & Foss 2007)	invalid	invalid
Antilocapridae	Antilocapridae	Cosoryx_cerroensis	Cosoryx_cerroensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Cosoryx_cerrosensis	Cosoryx_cerroensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Antilocapridae	Antilocapridae	Cosoryx_furcatus	Cosoryx_furcatus	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Cosoryx_furcatus	Cosoryx_furcatus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Cosoryx_ilfonensis	Cosoryx_ilfonsensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								typo	yes
Antilocapridae	Antilocapridae	Cosoryx_ilfonsensis	Cosoryx_ilfonsensis	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	NA	Cosoryx_trilateralis	Cosoryx_trilateralis	now	NA	NA	 	 	 						there seems to be no discussion record of this species; other than the description		no_literature	yes
Antilocapridae	Antilocapridae	Hayoceros_barbouri	Hayoceros_barbouri	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Hayoceros_falkenbachi	Hayoceros_falkenbachi	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Hexameryx_simpsoni	Hexameryx_simpsoni	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Hexameryx_simpsoni	Hexameryx_simpsoni	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Hexobelomeryx_fricki	Hexobelomeryx_fricki	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
